Carimbo de data/hora,Participante,Método,Etapa,Demanda Mental,Demanda física,Demanda Temporal,Perfomance,Esforço,Frustação
Data 1,001,1,1,5,19,3,9,4,16
Data 1,001,1,2,15,16,13,7,4,16
Data 1,001,2,1,1,13,14,20,1,15
Data 1,001,2,2,9,8,19,4,11,1
Data 1,001,3,1,1,1,18,1,13,7
Data 1,001,3,2,14,1,17,8,15,16
Data 1,001,4,1,18,8,12,8,8,15
Data 1,001,4,2,10,1,14,18,4,6
Data 1,001,5,1,10,4,11,17,14,17
Data 1,001,5,2,7,10,10,19,16,17
Data 2,002,1,1,13,19,2,16,8,13
Data 2,002,1,2,14,6,12,18,12,3
Data 2,002,2,1,15,17,4,6,17,13
Data 2,002,2,2,12,16,1,16,2,10
Data 2,002,3,1,20,19,19,13,6,6
Data 2,002,3,2,17,8,1,7,18,18
Data 2,002,4,1,8,13,17,12,19,12
Data 2,002,4,2,15,9,18,20,1,13
Data 2,002,5,1,17,5,17,18,7,14
Data 2,002,5,2,2,16,12,19,18,7
Data 3,003,1,1,17,14,16,12,14,12
Data 3,003,1,2,1,18,18,20,20,11
Data 3,003,2,1,15,20,1,8,6,18
Data 3,003,2,2,19,6,3,18,9,2
Data 3,003,3,1,3,3,1,15,1,9
Data 3,003,3,2,8,9,4,20,6,12
Data 3,003,4,1,10,3,6,6,9,17
Data 3,003,4,2,6,9,10,15,11,16
Data 3,003,5,1,16,4,1,10,13,11
Data 3,003,5,2,14,7,9,4,9,17
Data 4,004,1,1,7,20,14,1,8,1
Data 4,004,1,2,13,5,2,6,15,17
Data 4,004,2,1,14,18,8,17,15,8
Data 4,004,2,2,17,1,13,19,11,14
Data 4,004,3,1,2,10,5,7,2,10
Data 4,004,3,2,3,3,10,10,6,14
Data 4,004,4,1,19,9,5,1,18,2
Data 4,004,4,2,19,7,19,15,6,20
Data 4,004,5,1,17,2,13,7,12,4
Data 4,004,5,2,7,19,14,19,7,16
Data 5,005,1,1,4,13,10,17,16,1
Data 5,005,1,2,11,20,13,10,1,6
Data 5,005,2,1,7,11,19,5,11,14
Data 5,005,2,2,7,9,4,13,18,12
Data 5,005,3,1,18,16,18,8,3,2
Data 5,005,3,2,3,5,6,6,18,7
Data 5,005,4,1,9,11,20,17,9,12
Data 5,005,4,2,11,11,4,10,8,20
Data 5,005,5,1,16,5,19,18,4,11
Data 5,005,5,2,2,14,3,13,5,5
Data 6,006,1,1,11,4,20,19,13,3
Data 6,006,1,2,19,18,8,19,3,9
Data 6,006,2,1,12,10,19,18,4,15
Data 6,006,2,2,9,4,2,10,1,20
Data 6,006,3,1,1,3,14,4,2,7
Data 6,006,3,2,8,19,14,6,4,15
Data 6,006,4,1,6,8,6,4,14,13
Data 6,006,4,2,18,10,18,9,16,11
Data 6,006,5,1,4,7,11,2,1,1
Data 6,006,5,2,10,20,11,15,13,11
Data 7,007,1,1,13,3,3,11,20,15
Data 7,007,1,2,4,9,7,20,18,16
Data 7,007,2,1,12,9,6,18,7,10
Data 7,007,2,2,7,8,12,3,9,3
Data 7,007,3,1,15,3,19,11,8,13
Data 7,007,3,2,10,2,11,6,11,19
Data 7,007,4,1,10,8,11,4,18,20
Data 7,007,4,2,19,20,3,8,8,1
Data 7,007,5,1,8,13,3,9,18,3
Data 7,007,5,2,3,1,1,10,12,16
Data 8,008,1,1,16,5,4,17,11,3
Data 8,008,1,2,17,6,6,5,5,11
Data 8,008,2,1,10,4,17,20,10,5
Data 8,008,2,2,7,5,18,2,11,20
Data 8,008,3,1,18,7,6,10,14,18
Data 8,008,3,2,6,2,8,9,3,15
Data 8,008,4,1,14,18,9,18,15,18
Data 8,008,4,2,15,1,13,11,6,9
Data 8,008,5,1,16,1,14,19,1,2
Data 8,008,5,2,12,19,5,19,5,5
Data 9,009,1,1,9,9,13,19,13,6
Data 9,009,1,2,20,3,8,16,1,6
Data 9,009,2,1,17,11,17,15,8,8
Data 9,009,2,2,11,16,16,8,14,11
Data 9,009,3,1,18,20,9,8,2,3
Data 9,009,3,2,17,12,6,17,7,10
Data 9,009,4,1,10,10,18,12,6,15
Data 9,009,4,2,20,3,4,20,17,19
Data 9,009,5,1,13,6,5,9,14,7
Data 9,009,5,2,19,2,16,13,12,13
Data 10,0010,1,1,17,6,18,2,17,3
Data 10,0010,1,2,9,4,9,3,5,20
Data 10,0010,2,1,3,15,8,13,14,13
Data 10,0010,2,2,6,11,15,5,20,16
Data 10,0010,3,1,7,4,14,20,18,14
Data 10,0010,3,2,4,10,9,8,13,18
Data 10,0010,4,1,1,7,17,15,19,1
Data 10,0010,4,2,1,20,8,9,7,6
Data 10,0010,5,1,10,5,18,7,9,10
Data 10,0010,5,2,19,9,15,6,18,12
